Morphology,Phase,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,Ga,Al,Fe,Zn,La,WE,Overpotential(mV)
0.5,0.0,0.32,0.28,0.0,0.0,0.18,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,186.36756497234785
0.6,0.1,0.29,0.24,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.48,0.58,0.59,0.35,0.1,194.10060217281475
0.1,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.2,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.1,214.11848183370168
0.3,0.2,0.23,0.0,0.0,0.11,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.1,217.60858268871493
0.1,0.0,0.0,0.0,0.0,0.24,0.13,0.0,0.0,0.0,0.0,0.25,0.2,0.18,0.0,0.0,0.0,0.0,0.0,0.1,219.13946092986882
0.2,0.0,0.0,0.0,0.0,0.24,0.0,0.21,0.32,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,220.14410361114895
0.1,0.0,0.0,0.23,0.0,0.26,0.0,0.0,0.18,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,221.33132053612783
0.7,0.1,0.0,0.0,0.0,0.0,0.29,0.0,0.2,0.0,0.0,0.3,0.0,0.0,0.21,0.93,0.36,0.36,0.35,0.1,224.78951885171017
0.1,0.1,0.21,0.0,0.0,0.0,0.21,0.0,0.27,0.0,0.0,0.0,0.17,0.0,0.14,0.54,0.49,0.6799999999999999,0.29,0.1,225.82969517372177
0.1,0.1,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.2,0.37,0.49,0.64,0.47,0.4,0.1,226.19623256258103
