Morphology,Phase,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,B,Ga,Al,Fe,Zn,La,WE,Overpotential(mV)
0.3,0.0,0.23,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.29,0.33,0.0,0.0,0.0,0.0,0.0,0,0.1,185.3981410217418
0.1,0.1,0.24,0.1,0.19,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.51,0.49,0.5,0,0.4,193.2400881936438
0.2,0.1,0.26,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.21,0.89,0.25,0.24,0,0.5,197.63257481860325
0.5,0.0,0.3,0.15,0.17,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0,0.1,200.5607940481299
0.5,0.1,0.24,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.21,0.0,0.24,0.47,0.67,0.6900000000000001,0,0.8,206.2830324221913
0.7,0.0,0.18,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3399999999999999,0.0,0.0,0.27,0.0,0.0,0.0,0,0.1,208.20919295034906
0.6,0.0,0.25,0.0,0.13,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.12,0.0,0.0,0.0,0.0,0,0.8,212.25260194469624
0.4,0.1,0.27,0.19,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.19,0.25,0.68,0.33,0,0.5,213.18494933430225
0.7,0.1,0.22,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.39,0.5,0.32,0.44,0,0.2,216.25799310739657
0.5,0.1,0.32,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.11,0.29,0.14,0.81,0.64,0.27,0,0.3,217.35128887792607
