No,Morphology,Phase,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,B,Ga,Al,Fe,Zn,La,WE,tafel(mV/dec),ECSA(cm2),Rct,Cdl(mF/cm2),Overpotential(mV)
1.0,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.2,0.0,0.429,0.0,0.0172,430.0
2.0,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.5,50.27,0.0,0.0,9.5,275.0
3.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.2,37.0,0.0,9.01,1.18,255.3
5.1,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1,68.3,0.0,3.735,3.73,306.0
5.2,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1,59.0,0.0,0.769,3.93,298.0
5.3,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1,71.4,0.0,7.994,3.46,338.0
5.4,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0.1,49.9,0.0,0.146,4.41,278.0
6.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.2,37.0,0.0,0.0,1.18,255.3
7.0,0.1,0.0,0.166666667,0.166666667,0.333333333,0.166666667,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1,29.0,0.0,0.0,0.0,230.0
9.0,0.3,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1,55.6,0.0,0.0,1.68,293.0
10.0,0.1,0.2,0.333333333,0.0,0.333333333,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.1,44.8,75.75,29.8,3.03,241.0
11.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0.1,59.0,582.0,1.12,23.28,240.0
13.0,0.1,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.2,43.55,0.0,18.34,1.12,404.0
14.0,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.3,76.35,0.0,26.31,3.42,366.0
15.0,0.7,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,40.0,0.0,0.0,0.19,258.0
16.1,0.1,0.3,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.1,78.6,11.5,48.5,0.46,359.0
16.2,0.1,0.3,0.333333,0.166666667,0.166666667,0.0,0.0,0.0,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.1,55.1,11.0,18.2,0.44,335.0
16.3,0.1,0.3,0.166666666,0.333333333,0.166666667,0.0,0.0,0.0,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.1,51.2,10.8,17.7,0.43,325.0
16.4,0.1,0.3,0.166666667,0.166666667,0.333333333,0.0,0.0,0.0,0.166666667,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.1,54.0,13.0,21.2,0.52,343.0
16.5,0.1,0.3,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.333333333,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.1,66.3,12.75,33.8,0.51,353.0
16.6,0.1,0.3,0.166666667,0.166666667,0.166666667,0.0,0.0,0.0,0.166666667,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.1,56.0,8.25,23.3,0.33,343.0
17.0,0.1,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.2,54.5,0.0,0.0,0.0,332.0
18.0,0.2,0.4,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.3,47.5,27.33,0.0,1.64,336.0
19.0,0.2,0.2,0.258785942,0.249201278,0.233226837,0.031948882,0.0,0.0,0.0,0.226837061,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.6,60.9,0.0,0.0,0.325,381.0
20.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0.3,53.6,12.75,0.0,0.765,326.0
20.2,0.1,0.1,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0,0,0.3,69.9,11.08,0.0,0.665,334.0
