Morphology,Phase,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,B,Ga,Al,Fe,Zn,La,WE,Overpotential(mV)
0.4,0.0,0.0,0.0,0.11,0.0,0.25,0.0,0.2,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,-2.7296553108276447
0.5,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.24,0.0,0.23,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0,0.1,14.637323954105282
0.5,0.0,0.0,0.0,0.27,0.0,0.26,0.0,0.11,0.0,0.0,0.26,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0,0.7,37.92858036208141
0.5,0.4,0.26,0.0,0.19,0.0,0.27,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,38.02295495638329
0.2,0.2,0.17,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0,0.4,46.82233375223411
0.5,0.5,0.0,0.0,0.0,0.0,0.29,0.0,0.24,0.0,0.0,0.21,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0,0.5,59.68216809871802
0.3,0.0,0.0,0.21,0.0,0.28,0.24,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1,65.20946208081979
0.7,0.4,0.0,0.0,0.16,0.0,0.42,0.0,0.0,0.0,0.0,0.16,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0,0.2,69.97117998295028
0.6,0.4,0.3,0.0,0.0,0.0,0.22,0.0,0.18,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6,87.69204213748868
0.4,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.17,0.14,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0.4,90.76620800865612
