Morphology,Phase,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,Ga,Al,Fe,Zn,La,WE,Overpotential(mV)
0.1,0.1,0.21,0.0,0.0,0.0,0.21,0.0,0.27,0.0,0.0,0.0,0.17,0.0,0.14,0.54,0.49,0.6799999999999999,0.29,0.1,244.23099999999994
0.2,0.2,0.31,0.0,0.0,0.22,0.19,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,248.67699999999994
0.5,0.0,0.32,0.28,0.0,0.0,0.18,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,251.36033333333333
0.6,0.0,0.0,0.0,0.31,0.0,0.19,0.0,0.0,0.17,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.1,252.16999999999996
0.5,0.1,0.0,0.0,0.25,0.0,0.26,0.0,0.0,0.16,0.0,0.0,0.19,0.14,0.0,0.77,0.47,0.49,0.27,0.1,252.6523333333333
0.6,0.0,0.0,0.0,0.0,0.22,0.19,0.0,0.35,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.1,255.52699999999996
0.1,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.2,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.1,257.675
0.2,0.2,0.0,0.0,0.0,0.0,0.23,0.0,0.29,0.31,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.1,259.1889999999999
0.3,0.0,0.25,0.0,0.29,0.0,0.22,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,265.77199999999993
0.4,0.2,0.24,0.1,0.0,0.24,0.18,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,266.2939999999999
0.3,0.2,0.23,0.0,0.0,0.11,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.1,266.7589999999999
0.1,0.0,0.21,0.0,0.21,0.0,0.22,0.0,0.0,0.2,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,267.5769999999997
0.1,0.0,0.26,0.12,0.24,0.0,0.15,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,268.4893333333331
0.3,0.0,0.0,0.0,0.37,0.16,0.23,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,270.05999999999995
0.2,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.26,0.2,0.0,0.0,0.27,0.0,0.11,0.0,0.0,0.0,0.0,0.1,270.128
0.4,0.1,0.0,0.0,0.0,0.0,0.24,0.0,0.18,0.27,0.0,0.13,0.0,0.0,0.18,0.49,0.56,0.53,0.42,0.1,270.1493333333333
0.1,0.1,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.2,0.37,0.49,0.64,0.47,0.4,0.1,272.765
0.1,0.3,0.35,0.0,0.14,0.0,0.15,0.0,0.19,0.0,0.0,0.17,0.0,0.0,0.0,0.24,0.16,0.35,0.25,0.1,273.1739999999999
0.2,0.0,0.0,0.0,0.0,0.31,0.22,0.14,0.18,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,274.06299999999993
0.1,0.1,0.2,0.0,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.14,0.0,0.0,0.3,0.41,0.62,0.5,0.47,0.7,274.1509999999997
